"period","site","timestamp","pm25_ugm3","pm10_ugm3","dataset_kind"
"before","intervention","2026-09-01T00:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T01:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T02:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T03:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T04:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T05:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T06:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T07:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T08:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T09:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T10:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T11:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T12:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T13:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T14:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T15:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T16:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T17:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T18:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T19:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T20:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T21:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T22:00:00.0000000+00:00","80","120","synthetic"
"before","intervention","2026-09-01T23:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T00:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T01:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T02:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T03:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T04:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T05:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T06:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T07:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T08:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T09:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T10:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T11:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T12:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T13:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T14:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T15:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T16:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T17:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T18:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T19:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T20:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T21:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T22:00:00.0000000+00:00","80","120","synthetic"
"before","reference","2026-09-01T23:00:00.0000000+00:00","80","120","synthetic"
"after","intervention","2026-09-02T00:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T01:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T02:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T03:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T04:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T05:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T06:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T07:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T08:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T09:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T10:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T11:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T12:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T13:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T14:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T15:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T16:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T17:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T18:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T19:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T20:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T21:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T22:00:00.0000000+00:00","40","120","synthetic"
"after","intervention","2026-09-02T23:00:00.0000000+00:00","40","120","synthetic"
"after","reference","2026-09-02T00:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T01:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T02:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T03:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T04:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T05:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T06:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T07:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T08:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T09:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T10:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T11:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T12:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T13:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T14:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T15:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T16:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T17:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T18:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T19:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T20:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T21:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T22:00:00.0000000+00:00","70","120","synthetic"
"after","reference","2026-09-02T23:00:00.0000000+00:00","70","120","synthetic"
